task_id,level
67c52801,dummy
68b67ca3,dummy
692cd3b6,dummy
695367ec,dummy
696d4842,dummy
69889d6e,dummy
6a11f6da,dummy
6ad5bdfd,dummy
6df30ad6,dummy
6ea4a07e,dummy
6f473927,dummy
7039b2d7,dummy
705a3229,dummy
712bf12e,dummy
72207abc,dummy
72a961c9,dummy
73182012,dummy
73c3b0d8,dummy
73ccf9c2,dummy
759f3fd3,dummy
762cd429,dummy
770cc55f,dummy
782b5218,dummy
79369cc6,dummy
7953d61e,dummy
79fb03f4,dummy
7bb29440,dummy
7c8af763,dummy
7c9b52a0,dummy
7d18a6fb,dummy
7d1f7ee8,dummy
7d419a02,dummy
7e02026e,dummy
7ee1c6ea,dummy
817e6c09,dummy
81c0276b,dummy
833dafe3,dummy
845d6e51,dummy
84db8fc4,dummy
84f2aca1,dummy
8597cfd7,dummy
85b81ff1,dummy
85fa5666,dummy
8719f442,dummy
88207623,dummy
891232d6,dummy
896d5239,dummy
8a371977,dummy
8b28cd80,dummy
8ba14f53,dummy
8cb8642d,dummy
8dae5dfc,dummy
8e2edd66,dummy
8ee62060,dummy
8fbca751,dummy
90347967,dummy
903d1b4a,dummy
9110e3c5,dummy
917bccba,dummy
929ab4e9,dummy
92e50de0,dummy
9356391f,dummy
93b4f4b3,dummy
93c31fbe,dummy
94133066,dummy
94414823,dummy
94be5b80,dummy
95a58926,dummy
963f59bc,dummy
96a8c0cd,dummy
97239e3d,dummy
9772c176,dummy
981571dc,dummy
992798f6,dummy
99306f82,dummy
9a4bb226,dummy
9b2a60aa,dummy
9b365c51,dummy
9b4c17c4,dummy
9bebae7a,dummy
